formattedTitle, collected, releaseDate, releaseMSRP, dateCollected, collectedPrice,notes
Family Game Pack,TRUE,,,9/7/2023,3.75, Own a 2nd copy at $8.
Fantastic Four,FALSE,,,,,
Fatal Fury: Wild Ambition,FALSE,,,,,
Fear Effect,FALSE,,,,,
Fear Effect 2 : Retro Helix,TRUE,,,8/5/2023,34,
Felony 11-79,FALSE,,,,,
FIFA Soccer '96,FALSE,,,,,
FIFA 97,FALSE,,,,,
FIFA: Road to World Cup 98,TRUE,,,8/11/2023,12,
FIFA 99,FALSE,,,,,
FIFA 2000,FALSE,,,,,
FIFA 2001,FALSE,,,,,
FIFA Soccer 2002,FALSE,,,,,
FIFA Soccer 2003,FALSE,,,,,
FIFA 2004,FALSE,,,,,
FIFA Soccer 2005,FALSE,,,,,
The Fifth Element,TRUE,,,7/26/2023,16,
Fighter Maker,FALSE,,,,,
Fighting Force,TRUE,,,7/26/2023,16,
Fighting Force 2,TRUE,,,7/26/2023,16,
Final Doom,FALSE,,,,,
Final Fantasy VI,FALSE,,,,,
Final Fantasy VII,TRUE,,,,,Owned since childhood
Final Fantasy VIII,TRUE,,,,,Owned since childhood
Final Fantasy IX,TRUE,,,,,Owned since childhood
Final Fantasy Anthology,FALSE,,,,,
Final Fantasy Chronicles,TRUE,,,8/7/2023,25,
Final Fantasy Origins,FALSE,,,,,
Final Fantasy Tactics,FALSE,,,,,
The Final Round,FALSE,,,,,
Fisherman's Bait: A Bass Challenge,FALSE,,,,,
Fisherman's Bait 2: Big Ol' Bass,TRUE,,,8/4/2023,10,
Fisherman's Bait 3,FALSE,,,,,
Flintstones Bedrock Bowling,TRUE,,,14/7/2023,20,
Floating Runner,FALSE,,,,,
Ford Racing,TRUE,,,7/25/2023,3,
Ford Truck Mania,FALSE,,,,,
Formula 1,FALSE,,,,,
Formula 1 Champions,TRUE,,,12/1/2023,3.99,
Formula One 97,FALSE,,,,,
Formula One 98,FALSE,,,,,
Formula One 99,FALSE,,,,,
Forsaken,FALSE,,,,,
Fox Hunt,FALSE,,,,,
Foxkids.com Micro Maniacs Racing,TRUE,,,7/25/2023,7,
Fox Sports Golf '99,FALSE,,,,,
Fox Sports Soccer '99,FALSE,,,,,
Frank Thomas Big Hurt Baseball,FALSE,,,,,
Freestyle Boardin' '99,FALSE,,,,,
Freestyle Motocross: McGrath vs. Pastrana,FALSE,,,,,
Frogger,FALSE,,,,,
Frogger 2: Swampy's Revenge,TRUE,,,7/25/2023,3.5,
Front Mission 3,FALSE,,,,,
Future Cop: LAPD,FALSE,,,,,
G-Darius,FALSE,,,,,
G-Police,FALSE,,,,,
G-Police: Weapons of Justice,FALSE,,,,,
Galaga: Destination Earth,TRUE,,,7/26/2023,16,
Galerians,FALSE,,,,,
Gallop Racer,FALSE,,,,,
The Game of Life,FALSE,,,,,
Gauntlet Legends,FALSE,,,,,
Gekido,FALSE,,,,,
Gekioh: Shooting King,FALSE,,,,,
Geom Cube,FALSE,,,,,
Gex,TRUE,,,4/22/2024,20.99,
Gex: Enter the Gecko,FALSE,,,,,
Gex 3: Deep Cover Gecko,FALSE,,,,,
Ghost in the Shell,FALSE,,,,,
Glover,TRUE,,,9/26/2023,24.99,
Goal Storm,FALSE,,,,,
Goal Storm '97,FALSE,,,,,
Gold and Glory: The Road to El Dorado,FALSE,,,,,
Goofy's Fun House,FALSE,,,,,
Golden Nugget,FALSE,,,,,
Grandia,FALSE,,,,,
Grand Theft Auto,TRUE,,,7/26/2023,16,
Grand Theft Auto 2,TRUE,,,7/26/2023,16,
Grand Theft Auto: London 1961,TRUE,,,7/26/2023,16,
Gran Turismo,FALSE,,,,,
Gran Turismo 2,FALSE,,,,,
The Granstream Saga,FALSE,,,,,
Grid Runner,FALSE,,,,,
The Grinch Who Stole Christmas,FALSE,,,,,
Grind Session,FALSE,,,,,
Grudge Warriors,FALSE,,,,,
Guardian's Crusade,FALSE,,,,,
Gubble,FALSE,,,,,
Guilty Gear,FALSE,,,,,
Gundam: Battle Assault,FALSE,,,,,
Gundam Battle Assault 2,TRUE,,,7/26/2023,16,
Gunfighter: The Legend of Jesse James,TRUE,,,8/5/2023,8.5,
Gunship,FALSE,,,,,
Hardball '99,FALSE,,,,,
Harry Potter and the Chamber of Secrets,FALSE,,,,,
Harry Potter and the Philosopher's Stone,TRUE,,,8/15/2023,10,
Harvest Moon: Back to Nature,TRUE,,,7/31/2024,0,
HBO Boxing,FALSE,,,,,
Heart of Darkness,FALSE,,,,,
Hellboy: Asylum Seeker,FALSE,,,,,
Hello Kitty's Cube Frenzy,FALSE,,,,,
Herc's Adventures,FALSE,,,,,
Hexen,FALSE,,,,,
Hi-Octane,FALSE,,,,,
High Heat Baseball 2000,FALSE,,,,,
High Heat Major League Baseball 2002,FALSE,,,,,
The Hive,FALSE,,,,,
Hogs of War,FALSE,,,,,
Hooters Road Trip,FALSE,,,,,
Hoshigami: Ruining Blue Earth,FALSE,,,,,
Hot Shots Golf,TRUE,,,8/11/2023,7,
Hot Shots Golf 2,TRUE,,,8/11/2023,7,
Hot Wheels Extreme Racing,FALSE,,,,,
Hot Wheels Turbo Racing,FALSE,,,,,
Hugo: The Evil Mirror,FALSE,,,,,
Hydro Thunder,TRUE,,,7/25/2023,20,
IHRA Drag Racing,TRUE,,,7/25/2023,3,
Impact Racing,FALSE,,,,,
In Cold Blood,FALSE,,,,,
Incredible Crisis,FALSE,,,,,
In the Hunt,FALSE,,,,,
The Incredible Hulk: The Pantheon Saga,FALSE,,,,,
Independence Day,TRUE,,,7/25/2023,10,
